"container","dest","src","local_size","remote_size","result","run_at"
"pbcc-jsonbin","data_ward_emissions_2026-09-02.bin","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/jsonbin/data_ward_emissions_2026-09-02.bin",8409573,8409573,"uploaded","2026-09-02 23:36:00"
"pbcc-jsonbin","index_ward_epc_dom_2026-09-02.json.gz","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/jsonbin/index_ward_epc_dom_2026-09-02.json.gz",91801,91801,"uploaded","2026-09-02 23:36:00"
"pbcc-jsonbin","data_ward_epc_dom_2026-09-02.bin","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/jsonbin/data_ward_epc_dom_2026-09-02.bin",8817816,8817816,"uploaded","2026-09-02 23:36:00"
"pbcc-jsonbin","index_ward_gas_electric_2026-09-02.json.gz","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/jsonbin/index_ward_gas_electric_2026-09-02.json.gz",90490,90490,"uploaded","2026-09-02 23:36:00"
"pbcc-jsonbin","data_ward_gas_electric_2026-09-02.bin","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/jsonbin/data_ward_gas_electric_2026-09-02.bin",9658998,9658998,"uploaded","2026-09-02 23:36:00"
"pbcc-jsonbin","index_ward_population_2026-09-02.json.gz","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/jsonbin/index_ward_population_2026-09-02.json.gz",92572,92572,"uploaded","2026-09-02 23:36:00"
"pbcc-jsonbin","data_ward_population_2026-09-02.bin","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/jsonbin/data_ward_population_2026-09-02.bin",7261592,7261592,"uploaded","2026-09-02 23:36:00"
"pbcc-jsonbin","index_ward_prices_2026-09-02.json.gz","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/jsonbin/index_ward_prices_2026-09-02.json.gz",81187,81187,"uploaded","2026-09-02 23:36:00"
"pbcc-jsonbin","data_ward_prices_2026-09-02.bin","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/jsonbin/data_ward_prices_2026-09-02.bin",3868048,3868048,"uploaded","2026-09-02 23:36:00"
"pbcc-jsonbin","index_ward_pt_frequency_2026-09-02.json.gz","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/jsonbin/index_ward_pt_frequency_2026-09-02.json.gz",100781,100781,"uploaded","2026-09-02 23:36:00"
"pbcc-jsonbin","data_ward_pt_frequency_2026-09-02.bin","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/jsonbin/data_ward_pt_frequency_2026-09-02.bin",8394880,8394880,"uploaded","2026-09-02 23:36:00"
"pbcc-jsonbin","index_ward_vehicle_summary_2026-09-02.json.gz","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/jsonbin/index_ward_vehicle_summary_2026-09-02.json.gz",98297,98297,"uploaded","2026-09-02 23:36:00"
"pbcc-jsonbin","data_ward_vehicle_summary_2026-09-02.bin","F:/GitHub/PlaceBasedCarbonCalculator/build/outputdata/jsonbin/data_ward_vehicle_summary_2026-09-02.bin",8665896,8665896,"uploaded","2026-09-02 23:36:00"
